Set = 4 
L/L_Edd       T_eff       fc_1         fc_2         fc_3         fc_4        fc_5        w1*fc_1^4      w2*fc_2^4      w3*fc_3^4
0.001        0.303        2.127        2.112        2.146        2.127        0.491        0.100        0.101        0.098        
0.003        0.398        1.666        1.635        1.703        1.666        0.481        0.306        0.315        0.294        
0.010        0.538        1.348        1.303        1.399        1.348        0.466        0.739        0.773        0.702        
0.030        0.709        1.342        1.325        1.349        1.342        0.480        0.909        0.913        0.906        
0.050        0.805        1.341        1.344        1.320        1.341        0.492        0.963        0.963        0.971        
0.070        0.876        1.328        1.344        1.292        1.328        0.500        0.987        0.988        0.997        
0.100        0.957        1.314        1.337        1.272        1.314        0.508        1.000        1.005        1.008        
0.150        1.060        1.318        1.336        1.285        1.318        0.509        0.984        0.990        0.987        
0.200        1.139        1.340        1.349        1.320        1.340        0.508        0.974        0.977        0.974        
0.300        1.260        1.389        1.386        1.388        1.389        0.507        0.980        0.978        0.980        
0.400        1.354        1.424        1.413        1.427        1.424        0.506        0.974        0.968        0.974        
0.500        1.432        1.453        1.441        1.455        1.453        0.505        0.975        0.968        0.976        
0.600        1.498        1.482        1.471        1.480        1.482        0.504        0.983        0.976        0.983        
0.700        1.557        1.514        1.506        1.509        1.514        0.502        0.988        0.982        0.988        
0.750        1.584        1.534        1.528        1.528        1.534        0.502        0.990        0.986        0.990        
0.800        1.610        1.554        1.550        1.548        1.554        0.501        0.991        0.988        0.991        
0.850        1.635        1.587        1.586        1.579        1.587        0.499        0.990        0.989        0.989        
0.900        1.658        1.635        1.640        1.625        1.635        0.497        1.002        1.005        1.001        
0.950        1.681        1.702        1.716        1.687        1.702        0.495        1.002        1.011        1.000        
0.980        1.694        1.752        1.770        1.735        1.752        0.494        1.025        1.036        1.022        
