
L/L_Edd      fc  
0.001        1.861       
0.003        1.717       
0.010        1.602       
0.030        1.523       
0.050        1.492       
0.070        1.474       
0.100        1.457       
0.150        1.444       
0.200        1.440       
0.300        1.442       
0.400        1.455       
0.500        1.475       
0.600        1.500       
0.700        1.536       
0.750        1.559       
0.800        1.584       
0.850        1.616       
0.900        1.658       
0.950        1.728       
0.980        1.794       
