
L/L_Edd      fc  
0.001        1.745       
0.003        1.485       
0.010        1.348       
0.030        1.237       
0.050        1.211       
0.070        1.228       
0.100        1.272       
0.150        1.330       
0.200        1.367       
0.300        1.404       
0.400        1.421       
0.500        1.442       
0.600        1.468       
0.700        1.503       
0.750        1.526       
0.800        1.556       
0.850        1.586       
0.900        1.629       
0.950        1.699       
0.980        1.769       
