
L/L_Edd      fc  
0.001        1.836       
0.003        1.685       
0.010        1.565       
0.030        1.482       
0.050        1.449       
0.070        1.430       
0.100        1.411       
0.150        1.394       
0.200        1.385       
0.300        1.380       
0.400        1.384       
0.500        1.395       
0.600        1.415       
0.700        1.443       
0.750        1.463       
0.800        1.486       
0.850        1.518       
0.900        1.561       
0.950        1.633       
0.980        1.683       
