
L/L_Edd      fc  
0.001        1.944       
0.003        1.775       
0.010        1.636       
0.030        1.544       
0.050        1.509       
0.070        1.488       
0.100        1.466       
0.150        1.444       
0.200        1.432       
0.300        1.418       
0.400        1.415       
0.500        1.420       
0.600        1.434       
0.700        1.454       
0.750        1.471       
0.800        1.489       
0.850        1.520       
0.900        1.556       
0.950        1.623       
0.980        1.681       
