
L/L_Edd      fc  
0.001        1.859       
0.003        1.711       
0.010        1.591       
0.030        1.505       
0.050        1.473       
0.070        1.456       
0.100        1.442       
0.150        1.432       
0.200        1.429       
0.300        1.431       
0.400        1.443       
0.500        1.456       
0.600        1.492       
0.700        1.523       
0.750        1.545       
0.800        1.569       
0.850        1.600       
0.900        1.645       
0.950        1.719       
0.980        1.766       
