
L/L_Edd      fc  
0.001        1.842       
0.003        1.669       
0.010        1.532       
0.030        1.427       
0.050        1.391       
0.070        1.379       
0.100        1.381       
0.150        1.397       
0.200        1.411       
0.300        1.426       
0.400        1.441       
0.500        1.460       
0.600        1.486       
0.700        1.521       
0.750        1.538       
0.800        1.566       
0.850        1.599       
0.900        1.643       
0.950        1.719       
0.980        1.780       
