
L/L_Edd      fc  
0.001        1.784       
0.003        1.622       
0.010        1.481       
0.030        1.383       
0.050        1.366       
0.070        1.369       
0.100        1.381       
0.150        1.395       
0.200        1.404       
0.300        1.415       
0.400        1.431       
0.500        1.453       
0.600        1.478       
0.700        1.517       
0.750        1.537       
0.800        1.567       
0.850        1.600       
0.900        1.646       
0.950        1.733       
0.980        1.795       
