	X    log g    Teff (keV)    l
SPW (1.0, 14.0, 0.075, 4.332386338113761e-06)
SPW (1.0, 14.0, 0.1, 1.3692480278483005e-05)
SPW (1.0, 14.0, 0.125, 3.3428906929890134e-05)

JIM (1.0, 14.0, 0.06, 1.7745454440913963e-06)

NO (1.0, 14.0, 0.004321105017279133, 4.773769100553406e-11)
NO (1.0, 14.0, 0.008621738000000002, 7.5659141498483e-10)
NO (1.0, 14.0, 0.017202628920935156, 1.1991165830839763e-08)
NO (1.0, 14.0, 0.03432375720433566, 1.9004717094970222e-07)
NO (1.0, 14.0, 0.06848489925795265, 3.0120446748467854e-06)
NO (1.0, 14.0, 0.13664533863383305, 4.773769100553412e-05)
NO (1.0, 14.0, 0.2726432946922481, 0.00075659141498483)

------------------------------------------------------------------------

SPW (1.0, 14.3, 0.075, 2.171336723803821e-06)
SPW (1.0, 14.3, 0.1, 6.862496312268867e-06)
SPW (1.0, 14.3, 0.125, 1.6754141387375158e-05)

JIM (1.0, 14.3, 0.06, 8.893795220700445e-07)

NO (1.0, 14.3, 0.004321105017279133, 2.3925521294817094e-11)
NO (1.0, 14.3, 0.008621738000000002, 3.7919395826238984e-10)
NO (1.0, 14.3, 0.017202628920935156, 6.009819230724442e-09)
NO (1.0, 14.3, 0.03432375720433566, 9.524921586697036e-08)
NO (1.0, 14.3, 0.06848489925795265, 1.5095983381482143e-06)
NO (1.0, 14.3, 0.13664533863383305, 2.3925521294817113e-05)
NO (1.0, 14.3, 0.2726432946922481, 0.0003791939582623895)

----------------------------------------------------------------------
SPW (1.0, 14.6, 0.075, 1.0882462458765433e-06)
SPW (1.0, 14.6, 0.1, 3.4393955425233988e-06)
SPW (1.0, 14.6, 0.125, 8.39696177373876e-06)

JIM (1.0, 14.6, 0.06, 4.457456623110321e-07)

NO (1.0, 14.6, 0.004321105017279133, 1.1991165830839797e-11)
NO (1.0, 14.6, 0.008621738000000002, 1.900471709497029e-10)
NO (1.0, 14.6, 0.017202628920935156, 3.0120446748467707e-09)
NO (1.0, 14.6, 0.03432375720433566, 4.7737691005533876e-08)
NO (1.0, 14.6, 0.06848489925795265, 7.565914149848327e-07)
NO (1.0, 14.6, 0.13664533863383305, 1.1991165830839806e-05)
NO (1.0, 14.6, 0.2726432946922481, 0.00019004717094970282)

--------------------------------------------------------------


NO (1.0, 14.385, 0.075, 1.7853656617078489e-06)
NO (1.0, 14.385, 0.1, 5.64263715305197e-06)
NO (1.0, 14.385, 0.125, 1.3775969611943278e-05)

N0 (1.0, 14.385, 0.06, 7.312857750355346e-07)

ZAVLIN (1.0, 14.385, 0.004321105017279133, 1.9672584030815525e-11)
ZAVLIN (1.0, 14.385, 0.008621738000000002, 3.1178944508558727e-10)
ZAVLIN (1.0, 14.385, 0.017202628920935156, 4.941529689973743e-09)
ZAVLIN (1.0, 14.385, 0.03432375720433566, 7.831796765983853e-08)
ZAVLIN (1.0, 14.385, 0.06848489925795265, 1.2412561379146858e-06)
ZAVLIN (1.0, 14.385, 0.13664533863383305, 1.9672584030815548e-05)
ZAVLIN (1.0, 14.385, 0.2726432946922481, 0.0003117894450855872)

---------------------------------------------------------------


SPW (0, 14.0, 0.075, 2.16619316905688e-06)
SPW (0, 14.0, 0.1, 6.846240139241503e-06)
SPW (0, 14.0, 0.125, 1.6714453464945064e-05)

JIM (0, 14.0, 0.06, 8.872727220456981e-07)

NO (0, 14.0, 0.004321105017279133, 2.3868845502767022e-11)
NO (0, 14.0, 0.008621738000000002, 3.7829570749241494e-10)
NO (0, 14.0, 0.017202628920935156, 5.99558291541988e-09)
NO (0, 14.0, 0.03432375720433566, 9.502358547485114e-08)
NO (0, 14.0, 0.06848489925795265, 1.5060223374233931e-06)
NO (0, 14.0, 0.13664533863383305, 2.3868845502767045e-05)
NO (0, 14.0, 0.2726432946922481, 0.00037829570749241487)

------------------------------------------------------------------

SPW (0, 14.3, 0.075, 1.0856683619019107e-06)
SPW (0, 14.3, 0.1, 3.431248156134435e-06)
SPW (0, 14.3, 0.125, 8.377070693687579e-06)

JIM (0, 14.3, 0.06, 4.4468976103502235e-07)

NO (0, 14.3, 0.004321105017279133, 1.1962760647408547e-11)
NO (0, 14.3, 0.008621738000000002, 1.8959697913119497e-10)
NO (0, 14.3, 0.017202628920935156, 3.004909615362221e-09)
NO (0, 14.3, 0.03432375720433566, 4.76246079334852e-08)
NO (0, 14.3, 0.06848489925795265, 7.547991690741076e-07)
NO (0, 14.3, 0.13664533863383305, 1.1962760647408561e-05)
NO (0, 14.3, 0.2726432946922481, 0.00018959697913119492)

------------------------------------------------------------------

SPW (0, 14.6, 0.075, 5.44123122938272e-07)
SPW (0, 14.6, 0.1, 1.7196977712617002e-06)
SPW (0, 14.6, 0.125, 4.198480886869381e-06)

JIM (0, 14.6, 0.06, 2.2287283115551613e-07)

NO (0, 14.6, 0.004321105017279133, 5.995582915419898e-12)
NO (0, 14.6, 0.008621738000000002, 9.502358547485145e-11)
NO (0, 14.6, 0.017202628920935156, 1.5060223374233856e-09)
NO (0, 14.6, 0.03432375720433566, 2.3868845502766938e-08)
NO (0, 14.6, 0.06848489925795265, 3.782957074924165e-07)
NO (0, 14.6, 0.13664533863383305, 5.9955829154199045e-06)
NO (0, 14.6, 0.2726432946922481, 9.502358547485142e-05)

-----------------------------------------------------------------

NO (0, 14.385, 0.075, 8.926828308539243e-07)
NO (0, 14.385, 0.1, 2.8213185765259838e-06)
NO (0, 14.385, 0.125, 6.887984805971639e-06)

