
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.834      1.829      1.843      1.437      3.076      0.050      0.051      0.049      
0.003      1.745      1.722      1.774      1.553      2.342      0.091      0.097      0.084      
0.010      1.605      1.578      1.634      1.535      1.732      0.135      0.144      0.124      
0.030      1.513      1.489      1.534      1.553      1.420      0.175      0.186      0.166      
0.050      1.483      1.456      1.504      1.524      1.300      0.194      0.206      0.183      
0.070      1.465      1.439      1.484      1.507      1.291      0.204      0.217      0.194      
0.100      1.451      1.423      1.466      1.488      1.325      0.214      0.228      0.205      
0.150      1.438      1.415      1.448      1.476      1.396      0.221      0.233      0.216      
0.200      1.430      1.410      1.437      1.463      1.404      0.228      0.239      0.224      
0.300      1.424      1.406      1.426      1.452      1.479      0.234      0.243      0.232      
0.400      1.423      1.405      1.422      1.449      1.487      0.235      0.244      0.235      
0.500      1.427      1.413      1.424      1.450      1.406      0.233      0.240      0.235      
0.600      1.373      1.356      1.375      1.580      1.397      0.216      0.224      0.215      
0.700      2.049      2.047      2.031      1.345      2.053      0.192      0.192      0.198      
0.750      1.861      1.867      1.841      1.353      1.868      0.195      0.193      0.203      
0.800      1.813      1.826      1.791      1.370      1.768      0.190      0.187      0.199      
0.850      2.180      2.209      2.145      1.397      2.195      0.156      0.151      0.165      
0.900      1.725      1.752      1.697      1.439      1.717      0.173      0.166      0.184      
0.950      2.212      2.284      2.155      1.494      2.135      0.116      0.107      0.127      
0.980      2.730      2.866      2.623      1.665      2.471      0.062      0.055      0.069      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.834      1.829      1.843      1.437      3.076      0.050      0.051      0.049      
0.003      1.745      1.722      1.774      1.553      2.342      0.091      0.097      0.084      
0.010      1.605      1.578      1.634      1.535      1.732      0.135      0.144      0.124      
0.030      1.513      1.489      1.534      1.553      1.420      0.175      0.186      0.166      
0.050      1.483      1.456      1.504      1.524      1.300      0.194      0.206      0.183      
0.070      1.465      1.439      1.484      1.507      1.291      0.204      0.217      0.194      
0.100      1.451      1.423      1.466      1.488      1.325      0.214      0.228      0.205      
0.150      1.438      1.415      1.448      1.476      1.396      0.221      0.233      0.216      
0.200      1.430      1.410      1.437      1.463      1.404      0.228      0.239      0.224      
0.300      1.424      1.406      1.426      1.452      1.479      0.234      0.243      0.232      
0.400      1.423      1.405      1.422      1.449      1.487      0.235      0.244      0.235      
0.500      1.427      1.413      1.424      1.450      1.406      0.233      0.240      0.235      
0.600      1.373      1.356      1.375      1.580      1.397      0.216      0.224      0.215      
0.700      2.049      2.047      2.031      1.345      2.053      0.192      0.192      0.198      
0.750      1.861      1.867      1.841      1.353      1.868      0.195      0.193      0.203      
0.800      1.813      1.826      1.791      1.370      1.768      0.190      0.187      0.199      
0.850      2.180      2.209      2.145      1.397      2.195      0.156      0.151      0.165      
0.900      1.725      1.752      1.697      1.439      1.717      0.173      0.166      0.184      
0.950      2.212      2.284      2.155      1.494      2.135      0.116      0.107      0.127      
0.980      2.730      2.866      2.623      1.665      2.471      0.062      0.055      0.069      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.836      1.831      1.845      1.440      3.079      0.050      0.051      0.049      
0.003      1.743      1.720      1.771      1.546      2.340      0.091      0.097      0.084      
0.010      1.605      1.578      1.634      1.533      1.732      0.135      0.144      0.124      
0.030      1.513      1.489      1.534      1.553      1.421      0.175      0.186      0.166      
0.050      1.482      1.455      1.503      1.525      1.300      0.194      0.206      0.183      
0.070      1.465      1.438      1.483      1.508      1.291      0.204      0.217      0.194      
0.100      1.450      1.423      1.466      1.488      1.325      0.214      0.228      0.205      
0.150      1.439      1.416      1.449      1.475      1.397      0.221      0.233      0.216      
0.200      1.430      1.409      1.437      1.464      1.404      0.228      0.239      0.224      
0.300      1.424      1.406      1.426      1.452      1.480      0.234      0.243      0.232      
0.400      1.423      1.405      1.423      1.448      1.487      0.235      0.244      0.235      
0.500      1.427      1.413      1.425      1.450      1.407      0.233      0.240      0.235      
0.600      1.372      1.356      1.374      1.581      1.397      0.216      0.224      0.215      
0.700      2.049      2.047      2.031      1.345      2.052      0.192      0.192      0.198      
0.750      1.861      1.867      1.841      1.353      1.868      0.195      0.193      0.203      
0.800      1.813      1.826      1.791      1.370      1.769      0.190      0.187      0.199      
0.850      2.180      2.209      2.144      1.396      2.195      0.156      0.151      0.165      
0.900      1.725      1.752      1.697      1.439      1.717      0.173      0.166      0.184      
0.950      2.212      2.284      2.155      1.494      2.134      0.116      0.107      0.127      
0.980      2.730      2.866      2.623      1.665      2.471      0.062      0.055      0.069      
