
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.684      1.666      1.703      1.203      2.592      0.061      0.065      0.057      
0.003      1.673      1.650      1.698      1.574      1.971      0.115      0.123      0.108      
0.010      1.545      1.519      1.566      1.565      1.458      0.160      0.171      0.152      
0.030      1.481      1.463      1.492      1.517      1.396      0.196      0.205      0.191      
0.050      1.460      1.441      1.467      1.490      1.489      0.211      0.220      0.207      
0.070      1.445      1.426      1.451      1.476      1.268      0.219      0.229      0.216      
0.100      1.436      1.417      1.439      1.461      1.460      0.227      0.236      0.225      
0.150      1.429      1.412      1.430      1.449      1.426      0.233      0.242      0.232      
0.200      1.426      1.410      1.425      1.445      1.489      0.235      0.243      0.236      
0.300      1.433      1.419      1.429      1.446      1.399      0.233      0.240      0.235      
0.400      1.445      1.435      1.438      1.455      1.460      0.226      0.231      0.230      
0.500      1.417      1.410      1.410      1.519      1.436      0.216      0.220      0.221      
0.600      1.629      1.633      1.613      1.400      1.601      0.200      0.198      0.207      
0.700      1.882      1.904      1.851      1.377      1.796      0.171      0.166      0.181      
0.750      1.695      1.721      1.666      1.433      1.698      0.175      0.168      0.187      
0.800      1.883      1.925      1.843      1.417      1.950      0.154      0.145      0.166      
0.850      1.241      1.234      1.235      2.028      1.258      0.216      0.220      0.221      
0.900      1.960      2.028      1.906      1.475      1.894      0.128      0.117      0.140      
0.950      2.375      2.518      2.290      1.555      2.017      0.081      0.071      0.090      
0.980      4.652      4.981      4.459      1.903      2.831      0.015      0.013      0.016      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.684      1.666      1.703      1.203      2.592      0.061      0.065      0.057      
0.003      1.673      1.650      1.698      1.574      1.971      0.115      0.123      0.108      
0.010      1.545      1.519      1.566      1.565      1.458      0.160      0.171      0.152      
0.030      1.481      1.463      1.492      1.517      1.396      0.196      0.205      0.191      
0.050      1.460      1.441      1.467      1.490      1.489      0.211      0.220      0.207      
0.070      1.445      1.426      1.451      1.476      1.268      0.219      0.229      0.216      
0.100      1.436      1.417      1.439      1.461      1.460      0.227      0.236      0.225      
0.150      1.429      1.412      1.430      1.449      1.426      0.233      0.242      0.232      
0.200      1.426      1.410      1.425      1.445      1.489      0.235      0.243      0.236      
0.300      1.433      1.419      1.429      1.446      1.399      0.233      0.240      0.235      
0.400      1.445      1.435      1.438      1.455      1.460      0.226      0.231      0.230      
0.500      1.417      1.410      1.410      1.519      1.436      0.216      0.220      0.221      
0.600      1.629      1.633      1.613      1.400      1.601      0.200      0.198      0.207      
0.700      1.882      1.904      1.851      1.377      1.796      0.171      0.166      0.181      
0.750      1.695      1.721      1.666      1.433      1.698      0.175      0.168      0.187      
0.800      1.883      1.925      1.843      1.417      1.950      0.154      0.145      0.166      
0.850      1.241      1.234      1.235      2.028      1.258      0.216      0.220      0.221      
0.900      1.960      2.028      1.906      1.475      1.894      0.128      0.117      0.140      
0.950      2.375      2.518      2.290      1.555      2.017      0.081      0.071      0.090      
0.980      4.652      4.981      4.459      1.903      2.831      0.015      0.013      0.016      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.685      1.667      1.703      1.203      2.592      0.061      0.065      0.057      
0.003      1.672      1.649      1.696      1.568      1.970      0.115      0.123      0.108      
0.010      1.544      1.519      1.565      1.565      1.458      0.160      0.171      0.152      
0.030      1.481      1.462      1.491      1.518      1.396      0.196      0.205      0.191      
0.050      1.460      1.441      1.467      1.490      1.489      0.211      0.220      0.207      
0.070      1.444      1.426      1.450      1.476      1.267      0.219      0.229      0.216      
0.100      1.436      1.418      1.439      1.461      1.461      0.227      0.236      0.225      
0.150      1.429      1.412      1.430      1.449      1.425      0.233      0.242      0.232      
0.200      1.426      1.411      1.425      1.445      1.489      0.235      0.243      0.236      
0.300      1.432      1.418      1.428      1.446      1.398      0.233      0.240      0.235      
0.400      1.445      1.435      1.438      1.455      1.461      0.226      0.231      0.230      
0.500      1.416      1.409      1.409      1.520      1.436      0.216      0.220      0.221      
0.600      1.628      1.632      1.612      1.401      1.600      0.200      0.198      0.207      
0.700      1.882      1.904      1.851      1.377      1.796      0.171      0.166      0.181      
0.750      1.695      1.721      1.666      1.433      1.698      0.175      0.168      0.187      
0.800      1.883      1.925      1.843      1.417      1.950      0.154      0.145      0.166      
0.850      1.240      1.234      1.234      2.030      1.257      0.216      0.220      0.221      
0.900      1.959      2.027      1.905      1.476      1.893      0.128      0.117      0.140      
0.950      2.374      2.517      2.289      1.555      2.017      0.081      0.071      0.090      
0.980      4.652      4.981      4.458      1.903      2.830      0.015      0.013      0.016      
