
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.761      1.779      1.738      1.250      2.599      0.056      0.053      0.060      
0.003      1.544      1.571      1.509      1.357      2.054      0.147      0.136      0.164      
0.010      1.312      1.339      1.277      1.284      1.519      0.312      0.286      0.353      
0.030      1.217      1.235      1.203      1.232      1.155      0.434      0.411      0.454      
0.050      1.229      1.233      1.240      1.265      1.186      0.409      0.405      0.394      
0.070      1.256      1.247      1.285      1.300      1.224      0.373      0.383      0.341      
0.100      1.293      1.269      1.332      1.342      1.306      0.332      0.353      0.295      
0.150      1.337      1.303      1.372      1.379      1.376      0.294      0.318      0.266      
0.200      1.368      1.335      1.393      1.400      1.281      0.272      0.293      0.254      
0.300      1.400      1.375      1.409      1.424      1.458      0.252      0.265      0.246      
0.400      3.422      2.857      4.234      1.489      1.410      0.068      0.105      0.041      
0.500      5.939      2.784      11.154      1.685      3.361      0.016      0.075      0.006      
0.600      481.651      18.056      5770.707      1.673      3.210      0.000      0.008      0.000      
0.700      5.306      2.759      9.503      1.880      3.089      0.012      0.044      0.005      
0.750      2.786      2.813      2.724      1.398      2.505      0.107      0.104      0.113      
0.800      3.514      3.552      3.412      1.453      2.987      0.070      0.068      0.075      
0.850      2.544      2.630      2.471      1.406      2.336      0.108      0.100      0.117      
0.900      3.009      3.154      2.892      1.470      2.488      0.073      0.066      0.080      
0.950      3.183      3.390      3.036      1.569      2.673      0.051      0.045      0.057      
0.980      4.016      4.438      3.761      1.818      2.840      0.021      0.018      0.025      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.761      1.779      1.738      1.250      2.599      0.056      0.053      0.060      
0.003      1.544      1.571      1.509      1.357      2.054      0.147      0.136      0.164      
0.010      1.312      1.339      1.277      1.284      1.519      0.312      0.286      0.353      
0.030      1.217      1.235      1.203      1.232      1.155      0.434      0.411      0.454      
0.050      1.229      1.233      1.240      1.265      1.186      0.409      0.405      0.394      
0.070      1.256      1.247      1.285      1.300      1.224      0.373      0.383      0.341      
0.100      1.293      1.269      1.332      1.342      1.306      0.332      0.353      0.295      
0.150      1.337      1.303      1.372      1.379      1.376      0.294      0.318      0.266      
0.200      1.368      1.335      1.393      1.400      1.281      0.272      0.293      0.254      
0.300      1.400      1.375      1.409      1.424      1.458      0.252      0.265      0.246      
0.400      3.422      2.857      4.234      1.489      1.410      0.068      0.105      0.041      
0.500      5.939      2.784      11.154      1.685      3.361      0.016      0.075      0.006      
0.600      481.651      18.056      5770.707      1.673      3.210      0.000      0.008      0.000      
0.700      5.306      2.759      9.503      1.880      3.089      0.012      0.044      0.005      
0.750      2.786      2.813      2.724      1.398      2.505      0.107      0.104      0.113      
0.800      3.514      3.552      3.412      1.453      2.987      0.070      0.068      0.075      
0.850      2.544      2.630      2.471      1.406      2.336      0.108      0.100      0.117      
0.900      3.009      3.154      2.892      1.470      2.488      0.073      0.066      0.080      
0.950      3.183      3.390      3.036      1.569      2.673      0.051      0.045      0.057      
0.980      4.016      4.438      3.761      1.818      2.840      0.021      0.018      0.025      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.762      1.781      1.739      1.253      2.601      0.056      0.053      0.060      
0.003      1.544      1.571      1.509      1.358      2.054      0.147      0.136      0.164      
0.010      1.313      1.340      1.278      1.285      1.520      0.312      0.286      0.353      
0.030      1.217      1.235      1.203      1.232      1.155      0.434      0.411      0.454      
0.050      1.228      1.232      1.240      1.265      1.186      0.409      0.405      0.394      
0.070      1.256      1.247      1.285      1.300      1.224      0.373      0.383      0.341      
0.100      1.292      1.268      1.332      1.343      1.306      0.332      0.353      0.295      
0.150      1.337      1.304      1.373      1.379      1.376      0.294      0.318      0.266      
0.200      1.367      1.335      1.393      1.401      1.281      0.272      0.293      0.254      
0.300      1.400      1.375      1.409      1.424      1.458      0.252      0.265      0.246      
0.400      3.423      2.857      4.234      1.489      1.410      0.068      0.105      0.041      
0.500      5.938      2.783      11.151      1.685      3.360      0.016      0.075      0.006      
0.600      481.259      18.057      5826.435      1.673      3.210      0.000      0.008      0.000      
0.700      5.306      2.759      9.503      1.880      3.089      0.012      0.044      0.005      
0.750      2.786      2.812      2.724      1.398      2.504      0.107      0.104      0.113      
0.800      3.515      3.553      3.413      1.453      2.988      0.070      0.068      0.075      
0.850      2.544      2.629      2.471      1.406      2.336      0.108      0.100      0.117      
0.900      3.008      3.153      2.892      1.470      2.487      0.073      0.066      0.080      
0.950      3.155      3.360      3.010      1.570      2.650      0.051      0.045      0.057      
0.980      4.016      4.438      3.761      1.818      2.840      0.021      0.018      0.025      
