
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.113      2.143      2.088      1.466      3.672      0.020      0.018      0.021      
0.003      1.656      1.678      1.637      1.015      2.795      0.035      0.033      0.038      
0.010      1.490      1.511      1.461      1.291      2.068      0.164      0.154      0.181      
0.030      1.320      1.348      1.281      1.284      1.510      0.309      0.283      0.356      
0.050      1.275      1.307      1.236      1.267      1.330      0.363      0.329      0.418      
0.070      1.266      1.298      1.230      1.268      1.222      0.376      0.341      0.425      
0.100      1.276      1.300      1.253      1.290      1.208      0.361      0.337      0.389      
0.150      1.307      1.318      1.303      1.338      1.272      0.323      0.314      0.327      
0.200      1.339      1.341      1.346      1.376      1.279      0.293      0.292      0.287      
0.300      1.391      1.387      1.399      1.424      1.402      0.254      0.257      0.249      
0.400      1.424      1.420      1.426      1.449      1.464      0.234      0.237      0.234      
0.500      1.451      1.453      1.443      1.468      1.384      0.220      0.219      0.225      
0.600      1.473      1.485      1.457      1.482      1.375      0.210      0.204      0.219      
0.700      1.494      1.507      1.475      1.502      1.429      0.198      0.193      0.209      
0.750      1.507      1.524      1.485      1.515      1.460      0.192      0.185      0.203      
0.800      1.514      1.539      1.490      1.541      1.551      0.183      0.174      0.195      
0.850      1.493      1.520      1.466      1.600      1.587      0.175      0.166      0.188      
0.900      1.501      1.528      1.478      1.647      1.449      0.164      0.155      0.174      
0.950      1.869      1.947      1.814      1.577      1.945      0.123      0.110      0.138      
0.980      1.639      1.689      1.609      1.776      1.474      0.118      0.109      0.127      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.113      2.143      2.088      1.466      3.672      0.020      0.018      0.021      
0.003      1.656      1.678      1.637      1.015      2.795      0.035      0.033      0.038      
0.010      1.490      1.511      1.461      1.291      2.068      0.164      0.154      0.181      
0.030      1.320      1.348      1.281      1.284      1.510      0.309      0.283      0.356      
0.050      1.275      1.307      1.236      1.267      1.330      0.363      0.329      0.418      
0.070      1.266      1.298      1.230      1.268      1.222      0.376      0.341      0.425      
0.100      1.276      1.300      1.253      1.290      1.208      0.361      0.337      0.389      
0.150      1.307      1.318      1.303      1.338      1.272      0.323      0.314      0.327      
0.200      1.339      1.341      1.346      1.376      1.279      0.293      0.292      0.287      
0.300      1.391      1.387      1.399      1.424      1.402      0.254      0.257      0.249      
0.400      1.424      1.420      1.426      1.449      1.464      0.234      0.237      0.234      
0.500      1.451      1.453      1.443      1.468      1.384      0.220      0.219      0.225      
0.600      1.473      1.485      1.457      1.482      1.375      0.210      0.204      0.219      
0.700      1.494      1.507      1.475      1.502      1.429      0.198      0.193      0.209      
0.750      1.507      1.524      1.485      1.515      1.460      0.192      0.185      0.203      
0.800      1.514      1.539      1.490      1.541      1.551      0.183      0.174      0.195      
0.850      1.493      1.520      1.466      1.600      1.587      0.175      0.166      0.188      
0.900      1.501      1.528      1.478      1.647      1.449      0.164      0.155      0.174      
0.950      1.869      1.947      1.814      1.577      1.945      0.123      0.110      0.138      
0.980      1.639      1.689      1.609      1.776      1.474      0.118      0.109      0.127      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.115      2.144      2.089      1.468      3.674      0.020      0.018      0.021      
0.003      1.654      1.676      1.634      1.013      2.792      0.035      0.033      0.038      
0.010      1.489      1.510      1.460      1.287      2.066      0.164      0.154      0.181      
0.030      1.321      1.349      1.282      1.286      1.511      0.309      0.283      0.356      
0.050      1.275      1.307      1.236      1.266      1.329      0.363      0.329      0.418      
0.070      1.266      1.298      1.231      1.268      1.222      0.376      0.341      0.425      
0.100      1.275      1.299      1.252      1.290      1.207      0.361      0.337      0.389      
0.150      1.308      1.318      1.304      1.338      1.273      0.323      0.314      0.327      
0.200      1.340      1.341      1.346      1.376      1.279      0.293      0.292      0.287      
0.300      1.391      1.386      1.399      1.424      1.401      0.254      0.257      0.249      
0.400      1.424      1.420      1.425      1.449      1.464      0.234      0.237      0.234      
0.500      1.451      1.453      1.443      1.468      1.384      0.220      0.219      0.225      
0.600      1.472      1.484      1.456      1.482      1.375      0.210      0.204      0.219      
0.700      1.494      1.506      1.475      1.502      1.428      0.198      0.193      0.209      
0.750      1.506      1.524      1.485      1.515      1.459      0.192      0.185      0.203      
0.800      1.513      1.538      1.490      1.542      1.551      0.183      0.174      0.195      
0.850      1.493      1.520      1.466      1.600      1.587      0.175      0.166      0.188      
0.900      1.500      1.528      1.477      1.648      1.449      0.164      0.155      0.174      
0.950      1.869      1.947      1.814      1.577      1.945      0.123      0.110      0.138      
0.980      1.639      1.689      1.609      1.776      1.474      0.118      0.109      0.127      
