
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.977      1.953      1.998      1.835      3.533      0.055      0.059      0.052      
0.003      1.602      1.590      1.614      1.163      2.690      0.069      0.072      0.066      
0.010      1.600      1.591      1.605      1.445      1.990      0.132      0.136      0.130      
0.030      1.505      1.501      1.508      1.497      1.510      0.177      0.179      0.176      
0.050      1.480      1.475      1.483      1.505      1.436      0.194      0.197      0.192      
0.070      1.466      1.460      1.471      1.500      1.320      0.202      0.206      0.200      
0.100      1.459      1.455      1.462      1.491      1.465      0.209      0.212      0.208      
0.150      1.454      1.450      1.455      1.487      1.374      0.213      0.215      0.212      
0.200      1.452      1.447      1.451      1.481      1.492      0.215      0.218      0.216      
0.300      1.456      1.455      1.450      1.476      1.402      0.216      0.216      0.220      
0.400      1.461      1.464      1.450      1.477      1.464      0.215      0.213      0.221      
0.500      1.467      1.470      1.455      1.484      1.439      0.211      0.209      0.217      
0.600      1.484      1.492      1.468      1.494      1.485      0.203      0.200      0.212      
0.700      1.502      1.517      1.483      1.513      1.543      0.194      0.188      0.203      
0.750      1.518      1.534      1.497      1.523      1.517      0.187      0.181      0.197      
0.800      1.523      1.545      1.499      1.550      1.493      0.179      0.172      0.190      
0.850      1.496      1.521      1.471      1.609      1.470      0.172      0.164      0.184      
0.900      1.478      1.508      1.453      1.695      1.506      0.161      0.152      0.172      
0.950      1.881      1.959      1.835      1.568      1.668      0.124      0.111      0.136      
0.980      1.645      1.697      1.613      1.778      1.592      0.117      0.107      0.126      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.977      1.953      1.998      1.835      3.533      0.055      0.059      0.052      
0.003      1.602      1.590      1.614      1.163      2.690      0.069      0.072      0.066      
0.010      1.600      1.591      1.605      1.445      1.990      0.132      0.136      0.130      
0.030      1.505      1.501      1.508      1.497      1.510      0.177      0.179      0.176      
0.050      1.480      1.475      1.483      1.505      1.436      0.194      0.197      0.192      
0.070      1.466      1.460      1.471      1.500      1.320      0.202      0.206      0.200      
0.100      1.459      1.455      1.462      1.491      1.465      0.209      0.212      0.208      
0.150      1.454      1.450      1.455      1.487      1.374      0.213      0.215      0.212      
0.200      1.452      1.447      1.451      1.481      1.492      0.215      0.218      0.216      
0.300      1.456      1.455      1.450      1.476      1.402      0.216      0.216      0.220      
0.400      1.461      1.464      1.450      1.477      1.464      0.215      0.213      0.221      
0.500      1.467      1.470      1.455      1.484      1.439      0.211      0.209      0.217      
0.600      1.484      1.492      1.468      1.494      1.485      0.203      0.200      0.212      
0.700      1.502      1.517      1.483      1.513      1.543      0.194      0.188      0.203      
0.750      1.518      1.534      1.497      1.523      1.517      0.187      0.181      0.197      
0.800      1.523      1.545      1.499      1.550      1.493      0.179      0.172      0.190      
0.850      1.496      1.521      1.471      1.609      1.470      0.172      0.164      0.184      
0.900      1.478      1.508      1.453      1.695      1.506      0.161      0.152      0.172      
0.950      1.881      1.959      1.835      1.568      1.668      0.124      0.111      0.136      
0.980      1.645      1.697      1.613      1.778      1.592      0.117      0.107      0.126      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.978      1.954      2.000      1.838      3.535      0.055      0.059      0.052      
0.003      1.600      1.588      1.612      1.160      2.686      0.069      0.072      0.066      
0.010      1.598      1.589      1.604      1.440      1.988      0.132      0.136      0.130      
0.030      1.506      1.501      1.508      1.498      1.511      0.177      0.179      0.176      
0.050      1.479      1.475      1.483      1.505      1.436      0.194      0.197      0.192      
0.070      1.467      1.460      1.471      1.500      1.320      0.202      0.206      0.200      
0.100      1.459      1.454      1.461      1.491      1.464      0.209      0.212      0.208      
0.150      1.455      1.450      1.456      1.487      1.375      0.213      0.215      0.212      
0.200      1.453      1.448      1.451      1.481      1.492      0.215      0.218      0.216      
0.300      1.456      1.455      1.450      1.477      1.401      0.216      0.216      0.220      
0.400      1.460      1.463      1.450      1.477      1.464      0.215      0.213      0.221      
0.500      1.467      1.470      1.455      1.484      1.439      0.211      0.209      0.217      
0.600      1.484      1.492      1.468      1.494      1.485      0.203      0.200      0.212      
0.700      1.501      1.516      1.482      1.513      1.543      0.194      0.188      0.203      
0.750      1.517      1.533      1.496      1.524      1.516      0.187      0.181      0.197      
0.800      1.522      1.544      1.499      1.550      1.492      0.179      0.172      0.190      
0.850      1.496      1.521      1.471      1.609      1.470      0.172      0.164      0.184      
0.900      1.478      1.508      1.453      1.695      1.506      0.161      0.152      0.172      
0.950      1.881      1.958      1.835      1.568      1.667      0.124      0.111      0.136      
0.980      1.645      1.697      1.613      1.778      1.592      0.117      0.107      0.126      
