
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.721      1.704      1.739      1.348      2.501      0.075      0.078      0.071      
0.003      1.635      1.617      1.656      1.521      1.976      0.125      0.131      0.118      
0.010      1.502      1.482      1.522      1.527      1.462      0.178      0.187      0.168      
0.030      1.439      1.416      1.461      1.481      1.200      0.218      0.231      0.206      
0.050      1.423      1.397      1.443      1.463      1.331      0.230      0.245      0.218      
0.070      1.416      1.389      1.434      1.455      1.374      0.235      0.250      0.224      
0.100      1.414      1.387      1.428      1.443      1.357      0.240      0.255      0.231      
0.150      1.412      1.388      1.419      1.440      1.324      0.241      0.255      0.237      
0.200      1.416      1.395      1.420      1.435      1.494      0.242      0.254      0.240      
0.300      1.422      1.403      1.421      1.438      1.403      0.239      0.249      0.240      
0.400      1.356      1.341      1.354      1.544      1.357      0.232      0.240      0.233      
0.500      1.983      1.971      1.971      1.316      1.960      0.196      0.199      0.200      
0.600      3.011      3.021      2.966      1.386      2.860      0.125      0.124      0.130      
0.700      3.614      3.680      3.514      1.425      2.752      0.088      0.084      0.093      
0.750      4.289      4.364      4.149      1.458      3.037      0.063      0.061      0.068      
0.800      2.514      2.539      2.467      1.411      2.281      0.108      0.106      0.114      
0.850      2.437      2.488      2.379      1.423      2.248      0.106      0.101      0.114      
0.900      2.182      2.253      2.125      1.454      2.132      0.112      0.103      0.121      
0.950      2.445      2.589      2.347      1.515      2.361      0.083      0.072      0.093      
0.980      6.162      6.639      5.708      1.927      2.840      0.010      0.009      0.011      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.721      1.704      1.739      1.348      2.501      0.075      0.078      0.071      
0.003      1.635      1.617      1.656      1.521      1.976      0.125      0.131      0.118      
0.010      1.502      1.482      1.522      1.527      1.462      0.178      0.187      0.168      
0.030      1.439      1.416      1.461      1.481      1.200      0.218      0.231      0.206      
0.050      1.423      1.397      1.443      1.463      1.331      0.230      0.245      0.218      
0.070      1.416      1.389      1.434      1.455      1.374      0.235      0.250      0.224      
0.100      1.414      1.387      1.428      1.443      1.357      0.240      0.255      0.231      
0.150      1.412      1.388      1.419      1.440      1.324      0.241      0.255      0.237      
0.200      1.416      1.395      1.420      1.435      1.494      0.242      0.254      0.240      
0.300      1.422      1.403      1.421      1.438      1.403      0.239      0.249      0.240      
0.400      1.356      1.341      1.354      1.544      1.357      0.232      0.240      0.233      
0.500      1.983      1.971      1.971      1.316      1.960      0.196      0.199      0.200      
0.600      3.011      3.021      2.966      1.386      2.860      0.125      0.124      0.130      
0.700      3.614      3.680      3.514      1.425      2.752      0.088      0.084      0.093      
0.750      4.289      4.364      4.149      1.458      3.037      0.063      0.061      0.068      
0.800      2.514      2.539      2.467      1.411      2.281      0.108      0.106      0.114      
0.850      2.437      2.488      2.379      1.423      2.248      0.106      0.101      0.114      
0.900      2.182      2.253      2.125      1.454      2.132      0.112      0.103      0.121      
0.950      2.445      2.589      2.347      1.515      2.361      0.083      0.072      0.093      
0.980      6.162      6.639      5.708      1.927      2.840      0.010      0.009      0.011      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.722      1.705      1.740      1.351      2.503      0.075      0.078      0.071      
0.003      1.636      1.617      1.656      1.522      1.976      0.125      0.131      0.118      
0.010      1.503      1.483      1.523      1.527      1.463      0.178      0.187      0.168      
0.030      1.439      1.416      1.461      1.481      1.200      0.218      0.231      0.206      
0.050      1.422      1.396      1.442      1.463      1.331      0.230      0.245      0.218      
0.070      1.416      1.389      1.433      1.455      1.373      0.235      0.250      0.224      
0.100      1.414      1.386      1.428      1.444      1.357      0.240      0.255      0.231      
0.150      1.413      1.388      1.420      1.440      1.324      0.241      0.255      0.237      
0.200      1.416      1.394      1.420      1.435      1.494      0.242      0.254      0.240      
0.300      1.422      1.403      1.421      1.438      1.403      0.239      0.249      0.240      
0.400      1.357      1.341      1.354      1.543      1.357      0.232      0.240      0.233      
0.500      1.983      1.970      1.970      1.316      1.960      0.196      0.199      0.200      
0.600      3.011      3.021      2.966      1.386      2.860      0.125      0.124      0.130      
0.700      3.614      3.680      3.514      1.425      2.752      0.088      0.084      0.093      
0.750      4.288      4.363      4.149      1.458      3.036      0.063      0.061      0.068      
0.800      2.514      2.539      2.467      1.411      2.282      0.108      0.106      0.114      
0.850      2.437      2.488      2.379      1.423      2.247      0.106      0.101      0.114      
0.900      2.182      2.253      2.124      1.455      2.132      0.112      0.103      0.121      
0.950      2.444      2.589      2.346      1.516      2.361      0.083      0.072      0.093      
0.980      6.161      6.639      5.708      1.927      2.840      0.010      0.009      0.011      
