
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.737      1.732      1.744      1.177      3.090      0.038      0.038      0.037      
0.003      1.647      1.656      1.632      1.385      2.347      0.104      0.102      0.109      
0.010      1.442      1.456      1.422      1.360      1.673      0.208      0.200      0.222      
0.030      1.325      1.338      1.315      1.332      1.271      0.304      0.292      0.314      
0.050      1.310      1.312      1.316      1.340      1.256      0.316      0.315      0.310      
0.070      1.321      1.316      1.337      1.362      1.247      0.305      0.309      0.290      
0.100      1.347      1.332      1.369      1.391      1.330      0.284      0.294      0.265      
0.150      1.379      1.358      1.401      1.418      1.350      0.261      0.274      0.245      
0.200      1.397      1.376      1.414      1.432      1.410      0.249      0.262      0.238      
0.300      1.424      1.410      1.427      1.445      1.323      0.236      0.243      0.234      
0.400      1.439      1.432      1.433      1.455      1.383      0.228      0.231      0.231      
0.500      1.453      1.449      1.444      1.465      1.525      0.221      0.222      0.226      
0.600      1.429      1.422      1.425      1.571      1.457      0.200      0.202      0.201      
0.700      2.152      2.190      2.114      1.386      2.142      0.165      0.157      0.175      
0.750      1.513      1.513      1.508      1.582      1.489      0.175      0.175      0.177      
0.800      1.866      1.902      1.831      1.412      1.845      0.167      0.158      0.178      
0.850      1.798      1.842      1.763      1.447      1.619      0.161      0.150      0.173      
0.900      1.850      1.914      1.806      1.479      1.724      0.145      0.132      0.158      
0.950      2.359      2.499      2.272      1.565      2.227      0.090      0.077      0.101      
0.980      2.656      2.815      2.542      1.748      2.387      0.052      0.045      0.059      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.737      1.732      1.744      1.177      3.090      0.038      0.038      0.037      
0.003      1.647      1.656      1.632      1.385      2.347      0.104      0.102      0.109      
0.010      1.442      1.456      1.422      1.360      1.673      0.208      0.200      0.222      
0.030      1.325      1.338      1.315      1.332      1.271      0.304      0.292      0.314      
0.050      1.310      1.312      1.316      1.340      1.256      0.316      0.315      0.310      
0.070      1.321      1.316      1.337      1.362      1.247      0.305      0.309      0.290      
0.100      1.347      1.332      1.369      1.391      1.330      0.284      0.294      0.265      
0.150      1.379      1.358      1.401      1.418      1.350      0.261      0.274      0.245      
0.200      1.397      1.376      1.414      1.432      1.410      0.249      0.262      0.238      
0.300      1.424      1.410      1.427      1.445      1.323      0.236      0.243      0.234      
0.400      1.439      1.432      1.433      1.455      1.383      0.228      0.231      0.231      
0.500      1.453      1.449      1.444      1.465      1.525      0.221      0.222      0.226      
0.600      1.429      1.422      1.425      1.571      1.457      0.200      0.202      0.201      
0.700      2.152      2.190      2.114      1.386      2.142      0.165      0.157      0.175      
0.750      1.513      1.513      1.508      1.582      1.489      0.175      0.175      0.177      
0.800      1.866      1.902      1.831      1.412      1.845      0.167      0.158      0.178      
0.850      1.798      1.842      1.763      1.447      1.619      0.161      0.150      0.173      
0.900      1.850      1.914      1.806      1.479      1.724      0.145      0.132      0.158      
0.950      2.359      2.499      2.272      1.565      2.227      0.090      0.077      0.101      
0.980      2.656      2.815      2.542      1.748      2.387      0.052      0.045      0.059      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.738      1.733      1.745      1.178      3.091      0.038      0.038      0.037      
0.003      1.648      1.657      1.633      1.388      2.349      0.104      0.102      0.109      
0.010      1.442      1.456      1.423      1.360      1.673      0.208      0.200      0.222      
0.030      1.325      1.338      1.314      1.332      1.271      0.304      0.292      0.314      
0.050      1.310      1.312      1.316      1.340      1.256      0.316      0.315      0.310      
0.070      1.322      1.316      1.337      1.362      1.247      0.305      0.309      0.290      
0.100      1.347      1.332      1.369      1.391      1.330      0.284      0.294      0.265      
0.150      1.378      1.358      1.401      1.418      1.349      0.261      0.274      0.245      
0.200      1.397      1.375      1.414      1.433      1.409      0.249      0.262      0.238      
0.300      1.424      1.410      1.427      1.445      1.323      0.236      0.243      0.234      
0.400      1.438      1.432      1.433      1.456      1.382      0.228      0.231      0.231      
0.500      1.453      1.450      1.444      1.465      1.525      0.221      0.222      0.226      
0.600      1.429      1.422      1.425      1.571      1.457      0.200      0.202      0.201      
0.700      2.152      2.189      2.114      1.386      2.141      0.165      0.157      0.175      
0.750      1.513      1.513      1.508      1.582      1.488      0.175      0.175      0.177      
0.800      1.866      1.902      1.831      1.412      1.845      0.167      0.158      0.178      
0.850      1.797      1.842      1.762      1.447      1.619      0.161      0.150      0.173      
0.900      1.850      1.914      1.806      1.479      1.724      0.145      0.132      0.158      
0.950      2.359      2.499      2.272      1.565      2.227      0.090      0.077      0.101      
0.980      2.655      2.815      2.541      1.748      2.387      0.052      0.045      0.059      
