
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.766      1.736      1.794      1.434      3.085      0.062      0.068      0.056      
0.003      1.696      1.674      1.716      1.405      2.342      0.091      0.096      0.085      
0.010      1.586      1.567      1.601      1.507      1.732      0.141      0.148      0.135      
0.030      1.512      1.498      1.520      1.544      1.317      0.178      0.185      0.174      
0.050      1.494      1.484      1.497      1.528      1.460      0.190      0.194      0.189      
0.070      1.478      1.467      1.480      1.507      1.449      0.200      0.205      0.199      
0.100      1.466      1.458      1.464      1.495      1.488      0.208      0.211      0.209      
0.150      1.455      1.449      1.451      1.477      1.452      0.216      0.219      0.219      
0.200      1.449      1.443      1.444      1.470      1.405      0.220      0.223      0.223      
0.300      1.448      1.445      1.439      1.465      1.425      0.222      0.224      0.227      
0.400      1.455      1.454      1.444      1.470      1.378      0.219      0.219      0.225      
0.500      1.469      1.473      1.454      1.479      1.407      0.212      0.210      0.220      
0.600      1.491      1.498      1.475      1.494      1.510      0.202      0.199      0.210      
0.700      1.512      1.526      1.494      1.513      1.569      0.191      0.186      0.200      
0.750      1.524      1.544      1.502      1.533      1.484      0.183      0.176      0.194      
0.800      1.521      1.546      1.497      1.566      1.517      0.176      0.168      0.187      
0.850      1.337      1.359      1.317      1.958      1.331      0.175      0.166      0.185      
0.900      1.771      1.828      1.730      1.527      1.718      0.143      0.130      0.155      
0.950      2.034      2.141      1.965      1.570      1.831      0.108      0.094      0.122      
0.980      2.720      2.899      2.612      1.805      2.289      0.046      0.040      0.052      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.766      1.736      1.794      1.434      3.085      0.062      0.068      0.056      
0.003      1.696      1.674      1.716      1.405      2.342      0.091      0.096      0.085      
0.010      1.586      1.567      1.601      1.507      1.732      0.141      0.148      0.135      
0.030      1.512      1.498      1.520      1.544      1.317      0.178      0.185      0.174      
0.050      1.494      1.484      1.497      1.528      1.460      0.190      0.194      0.189      
0.070      1.478      1.467      1.480      1.507      1.449      0.200      0.205      0.199      
0.100      1.466      1.458      1.464      1.495      1.488      0.208      0.211      0.209      
0.150      1.455      1.449      1.451      1.477      1.452      0.216      0.219      0.219      
0.200      1.449      1.443      1.444      1.470      1.405      0.220      0.223      0.223      
0.300      1.448      1.445      1.439      1.465      1.425      0.222      0.224      0.227      
0.400      1.455      1.454      1.444      1.470      1.378      0.219      0.219      0.225      
0.500      1.469      1.473      1.454      1.479      1.407      0.212      0.210      0.220      
0.600      1.491      1.498      1.475      1.494      1.510      0.202      0.199      0.210      
0.700      1.512      1.526      1.494      1.513      1.569      0.191      0.186      0.200      
0.750      1.524      1.544      1.502      1.533      1.484      0.183      0.176      0.194      
0.800      1.521      1.546      1.497      1.566      1.517      0.176      0.168      0.187      
0.850      1.337      1.359      1.317      1.958      1.331      0.175      0.166      0.185      
0.900      1.771      1.828      1.730      1.527      1.718      0.143      0.130      0.155      
0.950      2.034      2.141      1.965      1.570      1.831      0.108      0.094      0.122      
0.980      2.720      2.899      2.612      1.805      2.289      0.046      0.040      0.052      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.764      1.734      1.792      1.429      3.081      0.062      0.068      0.056      
0.003      1.695      1.674      1.715      1.403      2.341      0.091      0.096      0.085      
0.010      1.586      1.567      1.602      1.508      1.733      0.141      0.148      0.135      
0.030      1.512      1.497      1.520      1.544      1.316      0.178      0.185      0.174      
0.050      1.494      1.484      1.497      1.528      1.460      0.190      0.194      0.189      
0.070      1.478      1.467      1.480      1.507      1.449      0.200      0.205      0.199      
0.100      1.466      1.459      1.464      1.495      1.488      0.208      0.211      0.209      
0.150      1.455      1.449      1.451      1.477      1.452      0.216      0.219      0.219      
0.200      1.449      1.443      1.443      1.470      1.405      0.220      0.223      0.223      
0.300      1.448      1.445      1.439      1.464      1.425      0.222      0.224      0.227      
0.400      1.455      1.455      1.445      1.469      1.378      0.219      0.219      0.225      
0.500      1.469      1.473      1.454      1.479      1.407      0.212      0.210      0.220      
0.600      1.490      1.498      1.474      1.494      1.509      0.202      0.199      0.210      
0.700      1.512      1.526      1.493      1.513      1.568      0.191      0.186      0.200      
0.750      1.524      1.544      1.501      1.533      1.483      0.183      0.176      0.194      
0.800      1.521      1.546      1.497      1.566      1.517      0.176      0.168      0.187      
0.850      1.337      1.359      1.317      1.958      1.331      0.175      0.166      0.185      
0.900      1.771      1.828      1.730      1.527      1.718      0.143      0.130      0.155      
0.950      2.034      2.141      1.965      1.570      1.831      0.108      0.094      0.122      
0.980      2.720      2.899      2.613      1.805      2.289      0.046      0.040      0.052      
