
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.804      1.824      1.778      1.240      2.599      0.049      0.046      0.053      
0.003      1.541      1.571      1.500      1.257      2.054      0.135      0.124      0.154      
0.010      1.284      1.318      1.236      1.256      1.519      0.344      0.308      0.410      
0.030      1.151      1.192      1.105      1.152      1.247      0.566      0.496      0.674      
0.050      1.151      1.182      1.125      1.163      1.186      0.551      0.501      0.605      
0.070      1.175      1.194      1.170      1.199      1.272      0.499      0.472      0.509      
0.100      1.214      1.217      1.232      1.251      1.466      0.432      0.429      0.407      
0.150      1.264      1.249      1.298      1.309      1.430      0.365      0.380      0.330      
0.200      1.306      1.282      1.340      1.346      1.331      0.324      0.343      0.293      
0.300      1.359      1.334      1.379      1.396      1.250      0.277      0.293      0.263      
0.400      3.966      3.647      4.057      1.499      2.820      0.093      0.111      0.088      
0.500      2.440      1.620      3.209      1.520      3.361      0.075      0.223      0.035      
0.600      3.707      2.088      5.438      1.776      2.972      0.025      0.093      0.011      
0.700      3.255      1.627      6.280      1.965      3.089      0.023      0.124      0.006      
0.750      4.326      2.315      7.195      2.153      3.037      0.012      0.044      0.005      
0.800      3.338      2.020      5.123      2.333      2.874      0.016      0.050      0.006      
0.850      16.217      17.432      14.120      1.580      2.943      0.009      0.008      0.011      
0.900      5651.689      13729.882      40695.891      5651.689      2.902      0.000      0.000      0.000      
0.950      8.925      8.208      8.682      1.851      2.863      0.007      0.008      0.007      
0.980      7.074      7.055      6.937      2.010      2.840      0.007      0.007      0.007      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.804      1.824      1.778      1.240      2.599      0.049      0.046      0.053      
0.003      1.541      1.571      1.500      1.257      2.054      0.135      0.124      0.154      
0.010      1.284      1.318      1.236      1.256      1.519      0.344      0.308      0.410      
0.030      1.151      1.192      1.105      1.152      1.247      0.566      0.496      0.674      
0.050      1.151      1.182      1.125      1.163      1.186      0.551      0.501      0.605      
0.070      1.175      1.194      1.170      1.199      1.272      0.499      0.472      0.509      
0.100      1.214      1.217      1.232      1.251      1.466      0.432      0.429      0.407      
0.150      1.264      1.249      1.298      1.309      1.430      0.365      0.380      0.330      
0.200      1.306      1.282      1.340      1.346      1.331      0.324      0.343      0.293      
0.300      1.359      1.334      1.379      1.396      1.250      0.277      0.293      0.263      
0.400      3.966      3.647      4.057      1.499      2.820      0.093      0.111      0.088      
0.500      2.440      1.620      3.209      1.520      3.361      0.075      0.223      0.035      
0.600      3.707      2.088      5.438      1.776      2.972      0.025      0.093      0.011      
0.700      3.255      1.627      6.280      1.965      3.089      0.023      0.124      0.006      
0.750      4.326      2.315      7.195      2.153      3.037      0.012      0.044      0.005      
0.800      3.338      2.020      5.123      2.333      2.874      0.016      0.050      0.006      
0.850      16.217      17.432      14.120      1.580      2.943      0.009      0.008      0.011      
0.900      5651.689      13729.882      40695.891      5651.689      2.902      0.000      0.000      0.000      
0.950      8.925      8.208      8.682      1.851      2.863      0.007      0.008      0.007      
0.980      7.074      7.055      6.937      2.010      2.840      0.007      0.007      0.007      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.805      1.825      1.779      1.243      2.601      0.049      0.046      0.053      
0.003      1.541      1.572      1.500      1.258      2.054      0.135      0.124      0.154      
0.010      1.284      1.319      1.237      1.258      1.520      0.344      0.308      0.410      
0.030      1.151      1.192      1.105      1.152      1.247      0.566      0.496      0.674      
0.050      1.151      1.182      1.125      1.164      1.186      0.551      0.501      0.605      
0.070      1.175      1.194      1.169      1.200      1.272      0.499      0.472      0.509      
0.100      1.214      1.216      1.232      1.251      1.465      0.432      0.429      0.407      
0.150      1.264      1.249      1.298      1.308      1.430      0.365      0.380      0.330      
0.200      1.305      1.282      1.339      1.346      1.331      0.324      0.343      0.293      
0.300      1.359      1.334      1.379      1.396      1.250      0.277      0.293      0.263      
0.400      3.966      3.647      4.058      1.500      2.820      0.093      0.111      0.088      
0.500      2.439      1.620      3.208      1.520      3.360      0.075      0.223      0.035      
0.600      3.707      2.088      5.439      1.776      2.972      0.025      0.093      0.011      
0.700      3.255      1.627      6.279      1.965      3.089      0.023      0.124      0.006      
0.750      4.325      2.315      7.194      2.153      3.036      0.012      0.044      0.005      
0.800      3.338      2.020      5.124      2.333      2.875      0.016      0.050      0.006      
0.850      16.214      17.428      14.117      1.579      2.943      0.009      0.008      0.011      
0.900      5665.731      13450.396      37856.048      5665.731      2.901      0.000      0.000      0.000      
0.950      8.922      8.206      8.680      1.851      2.862      0.007      0.008      0.007      
0.980      7.073      7.054      6.937      2.010      2.840      0.007      0.007      0.007      
