
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.721      1.713      1.734      1.283      2.974      0.054      0.055      0.051      
0.003      1.689      1.672      1.706      1.454      2.258      0.099      0.104      0.094      
0.010      1.550      1.539      1.560      1.492      1.673      0.156      0.161      0.152      
0.030      1.468      1.457      1.480      1.503      1.321      0.200      0.205      0.193      
0.050      1.447      1.431      1.461      1.488      1.409      0.213      0.222      0.206      
0.070      1.441      1.426      1.451      1.480      1.399      0.219      0.227      0.212      
0.100      1.435      1.418      1.445      1.472      1.330      0.224      0.232      0.217      
0.150      1.434      1.418      1.440      1.461      1.403      0.227      0.236      0.224      
0.200      1.436      1.422      1.436      1.460      1.410      0.227      0.234      0.227      
0.300      1.437      1.428      1.432      1.456      1.429      0.228      0.233      0.231      
0.400      1.444      1.437      1.437      1.457      1.383      0.226      0.229      0.230      
0.500      1.455      1.453      1.445      1.468      1.412      0.219      0.220      0.225      
0.600      1.477      1.480      1.464      1.479      1.514      0.209      0.208      0.217      
0.700      1.448      1.457      1.432      1.554      1.349      0.198      0.194      0.206      
0.750      1.830      1.864      1.795      1.400      1.736      0.176      0.167      0.188      
0.800      1.704      1.732      1.674      1.445      1.708      0.174      0.166      0.186      
0.850      1.809      1.856      1.772      1.448      1.818      0.159      0.148      0.172      
0.900      2.033      2.116      1.980      1.466      2.011      0.133      0.120      0.146      
0.950      2.047      2.153      1.987      1.541      1.837      0.112      0.098      0.124      
0.980      2.656      2.829      2.564      1.746      2.481      0.052      0.045      0.058      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.721      1.713      1.734      1.283      2.974      0.054      0.055      0.051      
0.003      1.689      1.672      1.706      1.454      2.258      0.099      0.104      0.094      
0.010      1.550      1.539      1.560      1.492      1.673      0.156      0.161      0.152      
0.030      1.468      1.457      1.480      1.503      1.321      0.200      0.205      0.193      
0.050      1.447      1.431      1.461      1.488      1.409      0.213      0.222      0.206      
0.070      1.441      1.426      1.451      1.480      1.399      0.219      0.227      0.212      
0.100      1.435      1.418      1.445      1.472      1.330      0.224      0.232      0.217      
0.150      1.434      1.418      1.440      1.461      1.403      0.227      0.236      0.224      
0.200      1.436      1.422      1.436      1.460      1.410      0.227      0.234      0.227      
0.300      1.437      1.428      1.432      1.456      1.429      0.228      0.233      0.231      
0.400      1.444      1.437      1.437      1.457      1.383      0.226      0.229      0.230      
0.500      1.455      1.453      1.445      1.468      1.412      0.219      0.220      0.225      
0.600      1.477      1.480      1.464      1.479      1.514      0.209      0.208      0.217      
0.700      1.448      1.457      1.432      1.554      1.349      0.198      0.194      0.206      
0.750      1.830      1.864      1.795      1.400      1.736      0.176      0.167      0.188      
0.800      1.704      1.732      1.674      1.445      1.708      0.174      0.166      0.186      
0.850      1.809      1.856      1.772      1.448      1.818      0.159      0.148      0.172      
0.900      2.033      2.116      1.980      1.466      2.011      0.133      0.120      0.146      
0.950      2.047      2.153      1.987      1.541      1.837      0.112      0.098      0.124      
0.980      2.656      2.829      2.564      1.746      2.481      0.052      0.045      0.058      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.722      1.714      1.735      1.284      2.975      0.054      0.055      0.051      
0.003      1.691      1.674      1.707      1.458      2.260      0.099      0.104      0.094      
0.010      1.550      1.539      1.560      1.492      1.673      0.156      0.161      0.152      
0.030      1.468      1.456      1.480      1.503      1.321      0.200      0.205      0.193      
0.050      1.447      1.431      1.461      1.488      1.409      0.213      0.222      0.206      
0.070      1.441      1.426      1.452      1.480      1.399      0.219      0.227      0.212      
0.100      1.435      1.418      1.445      1.472      1.330      0.224      0.232      0.217      
0.150      1.434      1.418      1.439      1.461      1.402      0.227      0.236      0.224      
0.200      1.435      1.422      1.436      1.460      1.409      0.227      0.234      0.227      
0.300      1.437      1.428      1.433      1.456      1.429      0.228      0.233      0.231      
0.400      1.444      1.436      1.436      1.458      1.382      0.226      0.229      0.230      
0.500      1.455      1.453      1.445      1.468      1.412      0.219      0.220      0.225      
0.600      1.477      1.480      1.464      1.479      1.514      0.209      0.208      0.217      
0.700      1.447      1.457      1.432      1.554      1.349      0.198      0.194      0.206      
0.750      1.830      1.864      1.794      1.400      1.736      0.176      0.167      0.188      
0.800      1.704      1.732      1.674      1.445      1.708      0.174      0.166      0.186      
0.850      1.809      1.856      1.772      1.448      1.817      0.159      0.148      0.172      
0.900      2.033      2.116      1.980      1.466      2.011      0.133      0.120      0.146      
0.950      2.047      2.153      1.987      1.541      1.837      0.112      0.098      0.124      
0.980      2.655      2.828      2.564      1.746      2.480      0.052      0.045      0.058      
