
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.201      2.232      2.178      1.318      3.672      0.011      0.010      0.011      
0.003      1.762      1.789      1.741      1.111      2.795      0.035      0.033      0.038      
0.010      1.465      1.487      1.438      1.173      2.149      0.155      0.144      0.170      
0.030      1.280      1.306      1.238      1.237      1.510      0.349      0.319      0.409      
0.050      1.223      1.260      1.172      1.217      1.330      0.439      0.387      0.534      
0.070      1.202      1.245      1.150      1.203      1.222      0.480      0.418      0.587      
0.100      1.208      1.251      1.159      1.208      1.208      0.469      0.410      0.561      
0.150      1.234      1.266      1.202      1.245      1.272      0.420      0.383      0.468      
0.200      1.268      1.291      1.250      1.289      1.381      0.372      0.349      0.393      
0.300      1.329      1.337      1.331      1.357      1.402      0.306      0.300      0.305      
0.400      1.377      1.378      1.382      1.403      1.355      0.267      0.267      0.263      
0.500      1.411      1.412      1.412      1.434      1.495      0.244      0.244      0.244      
0.600      1.445      1.452      1.436      1.460      1.429      0.224      0.221      0.230      
0.700      1.473      1.489      1.456      1.483      1.429      0.209      0.202      0.219      
0.750      1.488      1.505      1.467      1.497      1.517      0.201      0.194      0.212      
0.800      1.494      1.517      1.469      1.531      1.436      0.191      0.182      0.203      
0.850      1.483      1.509      1.456      1.582      1.587      0.181      0.172      0.194      
0.900      1.476      1.504      1.448      1.654      1.449      0.169      0.159      0.181      
0.950      2.005      2.070      1.954      1.564      2.022      0.116      0.106      0.127      
0.980      1.636      1.690      1.599      1.766      1.532      0.120      0.109      0.131      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.201      2.232      2.178      1.318      3.672      0.011      0.010      0.011      
0.003      1.762      1.789      1.741      1.111      2.795      0.035      0.033      0.038      
0.010      1.465      1.487      1.438      1.173      2.149      0.155      0.144      0.170      
0.030      1.280      1.306      1.238      1.237      1.510      0.349      0.319      0.409      
0.050      1.223      1.260      1.172      1.217      1.330      0.439      0.387      0.534      
0.070      1.202      1.245      1.150      1.203      1.222      0.480      0.418      0.587      
0.100      1.208      1.251      1.159      1.208      1.208      0.469      0.410      0.561      
0.150      1.234      1.266      1.202      1.245      1.272      0.420      0.383      0.468      
0.200      1.268      1.291      1.250      1.289      1.381      0.372      0.349      0.393      
0.300      1.329      1.337      1.331      1.357      1.402      0.306      0.300      0.305      
0.400      1.377      1.378      1.382      1.403      1.355      0.267      0.267      0.263      
0.500      1.411      1.412      1.412      1.434      1.495      0.244      0.244      0.244      
0.600      1.445      1.452      1.436      1.460      1.429      0.224      0.221      0.230      
0.700      1.473      1.489      1.456      1.483      1.429      0.209      0.202      0.219      
0.750      1.488      1.505      1.467      1.497      1.517      0.201      0.194      0.212      
0.800      1.494      1.517      1.469      1.531      1.436      0.191      0.182      0.203      
0.850      1.483      1.509      1.456      1.582      1.587      0.181      0.172      0.194      
0.900      1.476      1.504      1.448      1.654      1.449      0.169      0.159      0.181      
0.950      2.005      2.070      1.954      1.564      2.022      0.116      0.106      0.127      
0.980      1.636      1.690      1.599      1.766      1.532      0.120      0.109      0.131      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.203      2.234      2.180      1.320      3.674      0.011      0.010      0.011      
0.003      1.760      1.787      1.738      1.108      2.792      0.035      0.033      0.038      
0.010      1.464      1.486      1.436      1.170      2.147      0.155      0.144      0.170      
0.030      1.280      1.307      1.238      1.239      1.511      0.349      0.319      0.409      
0.050      1.222      1.260      1.171      1.216      1.329      0.439      0.387      0.534      
0.070      1.203      1.245      1.150      1.203      1.222      0.480      0.418      0.587      
0.100      1.207      1.251      1.158      1.208      1.207      0.469      0.410      0.561      
0.150      1.234      1.267      1.203      1.245      1.273      0.420      0.383      0.468      
0.200      1.268      1.292      1.251      1.289      1.382      0.372      0.349      0.393      
0.300      1.329      1.337      1.331      1.357      1.401      0.306      0.300      0.305      
0.400      1.377      1.378      1.382      1.403      1.355      0.267      0.267      0.263      
0.500      1.412      1.412      1.412      1.434      1.495      0.244      0.244      0.244      
0.600      1.445      1.452      1.435      1.460      1.429      0.224      0.221      0.230      
0.700      1.473      1.489      1.456      1.484      1.428      0.209      0.202      0.219      
0.750      1.487      1.505      1.467      1.498      1.516      0.201      0.194      0.212      
0.800      1.493      1.517      1.469      1.531      1.436      0.191      0.182      0.203      
0.850      1.483      1.509      1.456      1.582      1.587      0.181      0.172      0.194      
0.900      1.475      1.504      1.448      1.654      1.449      0.169      0.159      0.181      
0.950      2.005      2.070      1.954      1.564      2.021      0.116      0.106      0.127      
0.980      1.636      1.690      1.599      1.766      1.532      0.120      0.109      0.131      
