
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.821      1.800      1.847      1.561      2.592      0.071      0.075      0.066      
0.003      1.681      1.655      1.713      1.558      1.968      0.111      0.119      0.102      
0.010      1.554      1.523      1.586      1.580      1.456      0.156      0.168      0.143      
0.030      1.474      1.440      1.503      1.522      1.291      0.197      0.214      0.182      
0.050      1.447      1.414      1.472      1.493      1.275      0.214      0.231      0.200      
0.070      1.433      1.399      1.454      1.471      1.267      0.225      0.243      0.212      
0.100      1.422      1.388      1.441      1.452      1.352      0.234      0.253      0.223      
0.150      1.407      1.374      1.422      1.440      1.371      0.243      0.262      0.234      
0.200      1.402      1.368      1.414      1.434      1.378      0.247      0.266      0.239      
0.300      1.416      1.382      1.428      1.442      1.453      0.239      0.258      0.232      
0.400      2.897      2.486      3.187      1.449      3.539      0.098      0.144      0.075      
0.500      3.675      2.010      5.571      1.508      3.478      0.044      0.189      0.018      
0.600      2.844      2.580      3.022      1.410      2.849      0.105      0.133      0.089      
0.700      11.768      8.860      12.850      1.567      2.961      0.020      0.030      0.018      
0.750      13.684      11.319      13.191      1.600      2.910      0.014      0.017      0.014      
0.800      2.646      1.416      3.811      1.846      2.552      0.039      0.195      0.016      
0.850      2.280      1.271      3.494      2.102      3.046      0.042      0.200      0.014      
0.900      4.262      2.387      6.557      2.418      3.003      0.009      0.032      0.004      
0.950      5.620      5.945      5.275      1.566      2.962      0.028      0.026      0.032      
0.980      7.668      8.310      6.806      1.782      2.939      0.010      0.009      0.012      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.821      1.800      1.847      1.561      2.592      0.071      0.075      0.066      
0.003      1.681      1.655      1.713      1.558      1.968      0.111      0.119      0.102      
0.010      1.554      1.523      1.586      1.580      1.456      0.156      0.168      0.143      
0.030      1.474      1.440      1.503      1.522      1.291      0.197      0.214      0.182      
0.050      1.447      1.414      1.472      1.493      1.275      0.214      0.231      0.200      
0.070      1.433      1.399      1.454      1.471      1.267      0.225      0.243      0.212      
0.100      1.422      1.388      1.441      1.452      1.352      0.234      0.253      0.223      
0.150      1.407      1.374      1.422      1.440      1.371      0.243      0.262      0.234      
0.200      1.402      1.368      1.414      1.434      1.378      0.247      0.266      0.239      
0.300      1.416      1.382      1.428      1.442      1.453      0.239      0.258      0.232      
0.400      2.897      2.486      3.187      1.449      3.539      0.098      0.144      0.075      
0.500      3.675      2.010      5.571      1.508      3.478      0.044      0.189      0.018      
0.600      2.844      2.580      3.022      1.410      2.849      0.105      0.133      0.089      
0.700      11.768      8.860      12.850      1.567      2.961      0.020      0.030      0.018      
0.750      13.684      11.319      13.191      1.600      2.910      0.014      0.017      0.014      
0.800      2.646      1.416      3.811      1.846      2.552      0.039      0.195      0.016      
0.850      2.280      1.271      3.494      2.102      3.046      0.042      0.200      0.014      
0.900      4.262      2.387      6.557      2.418      3.003      0.009      0.032      0.004      
0.950      5.620      5.945      5.275      1.566      2.962      0.028      0.026      0.032      
0.980      7.668      8.310      6.806      1.782      2.939      0.010      0.009      0.012      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.820      1.799      1.846      1.559      2.591      0.071      0.075      0.066      
0.003      1.682      1.656      1.713      1.561      1.969      0.111      0.119      0.102      
0.010      1.555      1.524      1.587      1.580      1.457      0.156      0.168      0.143      
0.030      1.474      1.440      1.503      1.522      1.291      0.197      0.214      0.182      
0.050      1.448      1.414      1.472      1.492      1.276      0.214      0.231      0.200      
0.070      1.432      1.399      1.454      1.471      1.267      0.225      0.243      0.212      
0.100      1.422      1.388      1.440      1.453      1.352      0.234      0.253      0.223      
0.150      1.407      1.374      1.422      1.440      1.371      0.243      0.262      0.234      
0.200      1.402      1.368      1.415      1.433      1.378      0.247      0.266      0.239      
0.300      1.416      1.381      1.428      1.443      1.452      0.239      0.258      0.232      
0.400      2.897      2.486      3.187      1.450      3.539      0.098      0.144      0.075      
0.500      3.676      2.010      5.572      1.507      3.478      0.044      0.189      0.018      
0.600      2.844      2.580      3.022      1.410      2.849      0.105      0.133      0.089      
0.700      11.767      8.859      12.849      1.567      2.961      0.020      0.030      0.018      
0.750      13.683      11.318      13.189      1.600      2.910      0.014      0.017      0.014      
0.800      2.646      1.415      3.811      1.846      2.551      0.039      0.195      0.016      
0.850      2.280      1.271      3.494      2.102      3.046      0.042      0.200      0.014      
0.900      4.262      2.387      6.557      2.419      3.003      0.009      0.032      0.004      
0.950      5.621      5.945      5.275      1.566      2.963      0.028      0.026      0.032      
0.980      7.668      8.311      6.807      1.782      2.940      0.010      0.009      0.012      
