
L/L_Edd      fc  
0.001        1.944       
0.003        1.569       
0.010        1.363       
0.030        1.343       
0.050        1.320       
0.070        1.294       
0.100        1.274       
0.150        1.286       
0.200        1.320       
0.300        1.387       
0.400        1.427       
0.500        1.454       
0.600        1.480       
0.700        1.510       
0.750        1.529       
0.800        1.548       
0.850        1.580       
0.900        1.626       
0.950        1.688       
0.980        1.737       
