
L/L_Edd      fc  
0.001        1.803       
0.003        1.665       
0.010        1.550       
0.030        1.472       
0.050        1.445       
0.070        1.431       
0.100        1.421       
0.150        1.412       
0.200        1.411       
0.300        1.417       
0.400        1.432       
0.500        1.455       
0.600        1.485       
0.700        1.518       
0.750        1.541       
0.800        1.570       
0.850        1.601       
0.900        1.649       
0.950        1.724       
0.980        1.785       
