
L/L_Edd      fc  
0.001        1.761       
0.003        1.565       
0.010        1.418       
0.030        1.306       
0.050        1.289       
0.070        1.305       
0.100        1.337       
0.150        1.372       
0.200        1.393       
0.300        1.413       
0.400        1.428       
0.500        1.455       
0.600        1.475       
0.700        1.514       
0.750        1.536       
0.800        1.565       
0.850        1.596       
0.900        1.640       
0.950        1.713       
0.980        1.808       
