
L/L_Edd      fc  
0.001        1.899       
0.003        1.719       
0.010        1.578       
0.030        1.477       
0.050        1.435       
0.070        1.411       
0.100        1.398       
0.150        1.399       
0.200        1.412       
0.300        1.436       
0.400        1.452       
0.500        1.469       
0.600        1.493       
0.700        1.518       
0.750        1.548       
0.800        1.568       
0.850        1.601       
0.900        1.643       
0.950        1.717       
0.980        1.773       
