
L/L_Edd      fc  
0.001        1.918       
0.003        1.764       
0.010        1.634       
0.030        1.541       
0.050        1.506       
0.070        1.485       
0.100        1.469       
0.150        1.453       
0.200        1.448       
0.300        1.448       
0.400        1.456       
0.500        1.471       
0.600        1.494       
0.700        1.526       
0.750        1.545       
0.800        1.571       
0.850        1.601       
0.900        1.646       
0.950        1.720       
0.980        1.783       
