
L/L_Edd      fc  
0.001        1.835       
0.003        1.517       
0.010        1.371       
0.030        1.303       
0.050        1.257       
0.070        1.239       
0.100        1.252       
0.150        1.302       
0.200        1.350       
0.300        1.403       
0.400        1.428       
0.500        1.449       
0.600        1.473       
0.700        1.504       
0.750        1.526       
0.800        1.551       
0.850        1.582       
0.900        1.622       
0.950        1.683       
0.980        1.741       
