
L/L_Edd      fc  
0.001        1.803       
0.003        1.673       
0.010        1.566       
0.030        1.491       
0.050        1.462       
0.070        1.446       
0.100        1.431       
0.150        1.421       
0.200        1.419       
0.300        1.428       
0.400        1.445       
0.500        1.469       
0.600        1.497       
0.700        1.534       
0.750        1.557       
0.800        1.583       
0.850        1.618       
0.900        1.663       
0.950        1.731       
0.980        1.809       
