
L/L_Edd      fc  
0.001        1.903       
0.003        1.654       
0.010        1.494       
0.030        1.418       
0.050        1.377       
0.070        1.350       
0.100        1.335       
0.150        1.349       
0.200        1.375       
0.300        1.422       
0.400        1.446       
0.500        1.466       
0.600        1.490       
0.700        1.517       
0.750        1.541       
0.800        1.565       
0.850        1.598       
0.900        1.639       
0.950        1.707       
0.980        1.767       
