
L/L_Edd      fc  
0.001        1.919       
0.003        1.762       
0.010        1.640       
0.030        1.556       
0.050        1.523       
0.070        1.504       
0.100        1.486       
0.150        1.469       
0.200        1.462       
0.300        1.459       
0.400        1.469       
0.500        1.486       
0.600        1.507       
0.700        1.544       
0.750        1.561       
0.800        1.587       
0.850        1.619       
0.900        1.658       
0.950        1.727       
0.980        1.783       
