
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.772      1.742      1.808      1.613      2.180      0.089      0.096      0.081      
0.003      1.623      1.591      1.661      1.604      1.657      0.132      0.143      0.119      
0.010      1.512      1.474      1.552      1.557      1.324      0.178      0.195      0.160      
0.030      1.444      1.403      1.477      1.483      1.268      0.218      0.239      0.199      
0.050      1.417      1.377      1.444      1.461      1.352      0.233      0.255      0.217      
0.070      1.407      1.366      1.431      1.441      1.343      0.243      0.266      0.228      
0.100      1.394      1.355      1.414      1.426      1.379      0.253      0.276      0.239      
0.150      2.515      2.277      2.682      1.357      2.797      0.162      0.212      0.132      
0.200      2.660      2.374      2.883      1.363      3.540      0.145      0.194      0.114      
0.300      1.989      1.845      2.062      1.327      1.940      0.178      0.218      0.158      
0.400      1.805      1.646      1.909      1.339      2.456      0.185      0.238      0.153      
0.500      2.950      2.269      3.430      1.396      2.151      0.079      0.145      0.055      
0.600      2.974      2.327      3.700      1.414      1.510      0.071      0.124      0.043      
0.700      1.095      1.089      1.089      2.981      1.110      0.216      0.220      0.221      
0.750      3.978      2.874      4.988      1.452      2.448      0.041      0.077      0.027      
0.800      2.799      2.325      3.106      1.444      2.603      0.069      0.104      0.054      
0.850      2.535      1.437      3.991      2.141      2.564      0.033      0.131      0.012      
0.900      1.761      0.971      2.641      2.553      0.430      0.058      0.291      0.019      
0.950      2.798      1.660      3.751      2.986      2.308      0.014      0.048      0.008      
0.980      6.236      6.926      5.379      1.704      2.381      0.013      0.011      0.017      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.772      1.742      1.808      1.613      2.180      0.089      0.096      0.081      
0.003      1.623      1.591      1.661      1.604      1.657      0.132      0.143      0.119      
0.010      1.512      1.474      1.552      1.557      1.324      0.178      0.195      0.160      
0.030      1.444      1.403      1.477      1.483      1.268      0.218      0.239      0.199      
0.050      1.417      1.377      1.444      1.461      1.352      0.233      0.255      0.217      
0.070      1.407      1.366      1.431      1.441      1.343      0.243      0.266      0.228      
0.100      1.394      1.355      1.414      1.426      1.379      0.253      0.276      0.239      
0.150      2.515      2.277      2.682      1.357      2.797      0.162      0.212      0.132      
0.200      2.660      2.374      2.883      1.363      3.540      0.145      0.194      0.114      
0.300      1.989      1.845      2.062      1.327      1.940      0.178      0.218      0.158      
0.400      1.805      1.646      1.909      1.339      2.456      0.185      0.238      0.153      
0.500      2.950      2.269      3.430      1.396      2.151      0.079      0.145      0.055      
0.600      2.974      2.327      3.700      1.414      1.510      0.071      0.124      0.043      
0.700      1.095      1.089      1.089      2.981      1.110      0.216      0.220      0.221      
0.750      3.978      2.874      4.988      1.452      2.448      0.041      0.077      0.027      
0.800      2.799      2.325      3.106      1.444      2.603      0.069      0.104      0.054      
0.850      2.535      1.437      3.991      2.141      2.564      0.033      0.131      0.012      
0.900      1.761      0.971      2.641      2.553      0.430      0.058      0.291      0.019      
0.950      2.798      1.660      3.751      2.986      2.308      0.014      0.048      0.008      
0.980      6.236      6.926      5.379      1.704      2.381      0.013      0.011      0.017      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.772      1.741      1.808      1.612      2.180      0.089      0.096      0.081      
0.003      1.622      1.590      1.661      1.603      1.656      0.132      0.143      0.119      
0.010      1.511      1.473      1.552      1.558      1.324      0.178      0.195      0.160      
0.030      1.443      1.403      1.476      1.484      1.267      0.218      0.239      0.199      
0.050      1.417      1.377      1.444      1.461      1.352      0.233      0.255      0.217      
0.070      1.407      1.366      1.431      1.442      1.343      0.243      0.266      0.228      
0.100      1.395      1.355      1.415      1.426      1.379      0.253      0.276      0.239      
0.150      2.514      2.276      2.681      1.357      2.796      0.162      0.212      0.132      
0.200      2.661      2.374      2.883      1.363      3.541      0.145      0.194      0.114      
0.300      1.989      1.845      2.061      1.327      1.940      0.178      0.218      0.158      
0.400      1.805      1.645      1.909      1.339      2.456      0.185      0.238      0.153      
0.500      2.950      2.269      3.429      1.396      2.151      0.079      0.145      0.055      
0.600      2.974      2.326      3.700      1.414      1.510      0.071      0.124      0.043      
0.700      1.095      1.089      1.090      2.980      1.110      0.216      0.220      0.221      
0.750      3.978      2.874      4.989      1.452      2.449      0.041      0.077      0.027      
0.800      2.799      2.324      3.105      1.444      2.602      0.069      0.104      0.054      
0.850      2.534      1.437      3.990      2.141      2.563      0.033      0.131      0.012      
0.900      1.760      0.971      2.640      2.554      0.430      0.058      0.291      0.019      
0.950      2.798      1.660      3.751      2.987      2.308      0.014      0.048      0.008      
0.980      6.234      6.924      5.378      1.704      2.380      0.013      0.011      0.017      
