
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.076      2.066      2.093      2.235      3.666      0.063      0.065      0.060      
0.003      1.675      1.657      1.693      1.362      2.780      0.080      0.085      0.076      
0.010      1.626      1.615      1.635      1.427      2.059      0.119      0.123      0.116      
0.030      1.557      1.551      1.559      1.548      1.565      0.156      0.158      0.155      
0.050      1.527      1.522      1.528      1.550      1.378      0.172      0.174      0.172      
0.070      1.515      1.513      1.511      1.538      1.536      0.181      0.182      0.183      
0.100      1.496      1.494      1.491      1.521      1.460      0.192      0.192      0.194      
0.150      1.481      1.482      1.474      1.506      1.424      0.200      0.200      0.204      
0.200      1.473      1.475      1.465      1.492      1.432      0.206      0.205      0.211      
0.300      1.466      1.469      1.455      1.484      1.508      0.211      0.210      0.217      
0.400      1.472      1.476      1.460      1.486      1.459      0.209      0.207      0.216      
0.500      1.481      1.490      1.466      1.493      1.491      0.204      0.201      0.213      
0.600      1.496      1.509      1.477      1.504      1.598      0.197      0.192      0.207      
0.700      1.513      1.527      1.493      1.524      1.479      0.188      0.183      0.197      
0.750      1.338      1.346      1.324      1.698      1.346      0.204      0.201      0.213      
0.800      1.517      1.536      1.495      1.576      1.606      0.174      0.168      0.184      
0.850      1.516      1.544      1.491      1.626      1.523      0.164      0.155      0.175      
0.900      1.604      1.648      1.571      1.610      1.621      0.150      0.138      0.162      
0.950      1.595      1.643      1.558      1.728      1.425      0.132      0.120      0.144      
0.980      1.693      1.748      1.661      1.764      1.470      0.112      0.102      0.120      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.076      2.066      2.093      2.235      3.666      0.063      0.065      0.060      
0.003      1.675      1.657      1.693      1.362      2.780      0.080      0.085      0.076      
0.010      1.626      1.615      1.635      1.427      2.059      0.119      0.123      0.116      
0.030      1.557      1.551      1.559      1.548      1.565      0.156      0.158      0.155      
0.050      1.527      1.522      1.528      1.550      1.378      0.172      0.174      0.172      
0.070      1.515      1.513      1.511      1.538      1.536      0.181      0.182      0.183      
0.100      1.496      1.494      1.491      1.521      1.460      0.192      0.192      0.194      
0.150      1.481      1.482      1.474      1.506      1.424      0.200      0.200      0.204      
0.200      1.473      1.475      1.465      1.492      1.432      0.206      0.205      0.211      
0.300      1.466      1.469      1.455      1.484      1.508      0.211      0.210      0.217      
0.400      1.472      1.476      1.460      1.486      1.459      0.209      0.207      0.216      
0.500      1.481      1.490      1.466      1.493      1.491      0.204      0.201      0.213      
0.600      1.496      1.509      1.477      1.504      1.598      0.197      0.192      0.207      
0.700      1.513      1.527      1.493      1.524      1.479      0.188      0.183      0.197      
0.750      1.338      1.346      1.324      1.698      1.346      0.204      0.201      0.213      
0.800      1.517      1.536      1.495      1.576      1.606      0.174      0.168      0.184      
0.850      1.516      1.544      1.491      1.626      1.523      0.164      0.155      0.175      
0.900      1.604      1.648      1.571      1.610      1.621      0.150      0.138      0.162      
0.950      1.595      1.643      1.558      1.728      1.425      0.132      0.120      0.144      
0.980      1.693      1.748      1.661      1.764      1.470      0.112      0.102      0.120      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      2.074      2.063      2.090      2.228      3.662      0.063      0.065      0.060      
0.003      1.676      1.658      1.694      1.364      2.782      0.080      0.085      0.076      
0.010      1.627      1.615      1.635      1.429      2.059      0.119      0.123      0.116      
0.030      1.556      1.551      1.558      1.547      1.565      0.156      0.158      0.155      
0.050      1.527      1.521      1.527      1.550      1.377      0.172      0.174      0.172      
0.070      1.514      1.512      1.510      1.538      1.535      0.181      0.182      0.183      
0.100      1.495      1.493      1.490      1.521      1.459      0.192      0.192      0.194      
0.150      1.481      1.482      1.473      1.506      1.424      0.200      0.200      0.204      
0.200      1.473      1.475      1.464      1.492      1.431      0.206      0.205      0.211      
0.300      1.466      1.469      1.456      1.484      1.508      0.211      0.210      0.217      
0.400      1.471      1.476      1.459      1.486      1.459      0.209      0.207      0.216      
0.500      1.481      1.489      1.465      1.493      1.490      0.204      0.201      0.213      
0.600      1.496      1.509      1.478      1.504      1.598      0.197      0.192      0.207      
0.700      1.513      1.527      1.493      1.524      1.480      0.188      0.183      0.197      
0.750      1.338      1.346      1.324      1.698      1.347      0.204      0.201      0.213      
0.800      1.517      1.536      1.496      1.576      1.606      0.174      0.168      0.184      
0.850      1.515      1.543      1.490      1.627      1.522      0.164      0.155      0.175      
0.900      1.604      1.647      1.571      1.610      1.621      0.150      0.138      0.162      
0.950      1.595      1.643      1.558      1.728      1.425      0.132      0.120      0.144      
0.980      1.692      1.747      1.661      1.765      1.469      0.112      0.102      0.120      
