
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.792      1.797      1.785      1.077      3.090      0.022      0.022      0.023      
0.003      1.631      1.649      1.606      1.305      2.347      0.099      0.094      0.108      
0.010      1.401      1.423      1.367      1.300      1.807      0.230      0.215      0.258      
0.030      1.252      1.279      1.220      1.248      1.271      0.389      0.358      0.437      
0.050      1.240      1.263      1.217      1.250      1.119      0.406      0.378      0.439      
0.070      1.248      1.262      1.240      1.273      1.296      0.389      0.373      0.399      
0.100      1.278      1.279      1.288      1.313      1.185      0.352      0.351      0.341      
0.150      1.322      1.310      1.346      1.365      1.350      0.306      0.316      0.286      
0.200      1.357      1.339      1.380      1.398      1.305      0.277      0.290      0.260      
0.300      1.399      1.383      1.410      1.427      1.375      0.250      0.259      0.243      
0.400      1.426      1.417      1.425      1.444      1.383      0.235      0.240      0.236      
0.500      1.444      1.442      1.436      1.459      1.412      0.225      0.226      0.230      
0.600      1.467      1.472      1.453      1.473      1.349      0.214      0.212      0.222      
0.700      1.400      1.402      1.390      1.628      1.402      0.197      0.196      0.202      
0.750      1.203      1.202      1.203      2.676      1.182      0.197      0.198      0.197      
0.800      1.656      1.678      1.634      1.470      1.582      0.174      0.167      0.183      
0.850      1.751      1.790      1.717      1.453      1.619      0.165      0.155      0.177      
0.900      1.954      2.020      1.907      1.468      1.935      0.139      0.126      0.151      
0.950      2.021      2.111      1.961      1.547      1.837      0.112      0.100      0.124      
0.980      2.886      3.062      2.768      1.780      2.297      0.043      0.038      0.049      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.792      1.797      1.785      1.077      3.090      0.022      0.022      0.023      
0.003      1.631      1.649      1.606      1.305      2.347      0.099      0.094      0.108      
0.010      1.401      1.423      1.367      1.300      1.807      0.230      0.215      0.258      
0.030      1.252      1.279      1.220      1.248      1.271      0.389      0.358      0.437      
0.050      1.240      1.263      1.217      1.250      1.119      0.406      0.378      0.439      
0.070      1.248      1.262      1.240      1.273      1.296      0.389      0.373      0.399      
0.100      1.278      1.279      1.288      1.313      1.185      0.352      0.351      0.341      
0.150      1.322      1.310      1.346      1.365      1.350      0.306      0.316      0.286      
0.200      1.357      1.339      1.380      1.398      1.305      0.277      0.290      0.260      
0.300      1.399      1.383      1.410      1.427      1.375      0.250      0.259      0.243      
0.400      1.426      1.417      1.425      1.444      1.383      0.235      0.240      0.236      
0.500      1.444      1.442      1.436      1.459      1.412      0.225      0.226      0.230      
0.600      1.467      1.472      1.453      1.473      1.349      0.214      0.212      0.222      
0.700      1.400      1.402      1.390      1.628      1.402      0.197      0.196      0.202      
0.750      1.203      1.202      1.203      2.676      1.182      0.197      0.198      0.197      
0.800      1.656      1.678      1.634      1.470      1.582      0.174      0.167      0.183      
0.850      1.751      1.790      1.717      1.453      1.619      0.165      0.155      0.177      
0.900      1.954      2.020      1.907      1.468      1.935      0.139      0.126      0.151      
0.950      2.021      2.111      1.961      1.547      1.837      0.112      0.100      0.124      
0.980      2.886      3.062      2.768      1.780      2.297      0.043      0.038      0.049      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.793      1.798      1.786      1.078      3.091      0.022      0.022      0.023      
0.003      1.632      1.651      1.607      1.308      2.349      0.099      0.094      0.108      
0.010      1.401      1.423      1.367      1.300      1.807      0.230      0.215      0.258      
0.030      1.252      1.278      1.220      1.248      1.271      0.389      0.358      0.437      
0.050      1.240      1.263      1.217      1.250      1.119      0.406      0.378      0.439      
0.070      1.248      1.263      1.240      1.273      1.296      0.389      0.373      0.399      
0.100      1.278      1.279      1.288      1.313      1.185      0.352      0.351      0.341      
0.150      1.322      1.309      1.345      1.365      1.349      0.306      0.316      0.286      
0.200      1.357      1.338      1.380      1.398      1.305      0.277      0.290      0.260      
0.300      1.400      1.384      1.410      1.427      1.375      0.250      0.259      0.243      
0.400      1.425      1.417      1.425      1.445      1.382      0.235      0.240      0.236      
0.500      1.444      1.442      1.436      1.459      1.412      0.225      0.226      0.230      
0.600      1.467      1.472      1.453      1.473      1.349      0.214      0.212      0.222      
0.700      1.400      1.402      1.390      1.628      1.402      0.197      0.196      0.202      
0.750      1.203      1.202      1.202      2.679      1.181      0.197      0.198      0.197      
0.800      1.656      1.678      1.634      1.470      1.582      0.174      0.167      0.183      
0.850      1.751      1.790      1.717      1.453      1.619      0.165      0.155      0.177      
0.900      1.953      2.020      1.907      1.468      1.935      0.139      0.126      0.151      
0.950      2.021      2.111      1.961      1.547      1.837      0.112      0.100      0.124      
0.980      2.885      3.061      2.767      1.780      2.296      0.043      0.038      0.049      
